capsule_id,scaffold,annotation_agent_run_id,public_agent_run_id,canonical_public_id,annotation_accuracy,public_accuracy,score_changed,public_url,api_url
capsule-4299879,"Core Agent (anthropic/claude-opus-4-5, steps=200)",873df486-3211-4752-a216-f37486949cf2,dd94e69a-4e54-470c-aa8a-e72dc6727c49,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:dd94e69a-4e54-470c-aa8a-e72dc6727c49,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/dd94e69a-4e54-470c-aa8a-e72dc6727c49,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=dd94e69a-4e54-470c-aa8a-e72dc6727c49
capsule-4299879,"Core Agent (anthropic/claude-opus-4-6, steps=200)",642cc2de-5d9e-470b-8341-5c40254d9fcd,74ccdd68-8266-4925-aa95-e83c2da262a1,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:74ccdd68-8266-4925-aa95-e83c2da262a1,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/74ccdd68-8266-4925-aa95-e83c2da262a1,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=74ccdd68-8266-4925-aa95-e83c2da262a1
capsule-4299879,"Core Agent (gpt-5.4, steps=200)",71e2d6d2-d928-4dfe-a4a0-c3f1602691d0,03888c43-eb25-4b14-b6cc-d8db4bc7cb91,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:03888c43-eb25-4b14-b6cc-d8db4bc7cb91,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/03888c43-eb25-4b14-b6cc-d8db4bc7cb91,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=03888c43-eb25-4b14-b6cc-d8db4bc7cb91
capsule-4299879,"Open Code (anthropic/claude-opus-4-5, think=10000)",e98c3913-4930-41a5-951d-332087c8820a,af0f7756-3d3d-457e-b2db-79ca8035a7f5,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:af0f7756-3d3d-457e-b2db-79ca8035a7f5,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/af0f7756-3d3d-457e-b2db-79ca8035a7f5,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=af0f7756-3d3d-457e-b2db-79ca8035a7f5
capsule-4299879,Open Code (anthropic/claude-opus-4-6),83845dc3-b473-45df-ac14-5fc93ce0624f,0eb41633-eef2-4881-9964-1592e702bd2e,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:0eb41633-eef2-4881-9964-1592e702bd2e,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/0eb41633-eef2-4881-9964-1592e702bd2e,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=0eb41633-eef2-4881-9964-1592e702bd2e
capsule-4299879,"Open Code (openai/gpt-5.4, re=high)",1f847ea5-22dd-4795-a22f-feb2519fa7d2,68c3486f-5671-4326-ad53-1c2d24539c49,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:68c3486f-5671-4326-ad53-1c2d24539c49,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/68c3486f-5671-4326-ad53-1c2d24539c49,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=68c3486f-5671-4326-ad53-1c2d24539c49
capsule-4671827,"Claude Code (anthropic/claude-opus-4-5, think=10000)",5999560b-4815-4c60-8634-1bd84229b0c8,4dbc82d7-efdf-43d0-8445-55605b107e58,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:4dbc82d7-efdf-43d0-8445-55605b107e58,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/4dbc82d7-efdf-43d0-8445-55605b107e58,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=4dbc82d7-efdf-43d0-8445-55605b107e58
capsule-4671827,Claude Code (anthropic/claude-opus-4-6),40404e40-3680-4810-813a-9705c64731a5,f9e856f9-9cf6-4aaf-bd73-49b5ee64059d,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:f9e856f9-9cf6-4aaf-bd73-49b5ee64059d,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/f9e856f9-9cf6-4aaf-bd73-49b5ee64059d,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=f9e856f9-9cf6-4aaf-bd73-49b5ee64059d
capsule-4671827,"Codex Agent (gpt-5.4, re=high)",7b382443-feab-4e37-baee-26b5d9b0dc58,b9a53888-9d36-4345-98df-9891b7246338,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:b9a53888-9d36-4345-98df-9891b7246338,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/b9a53888-9d36-4345-98df-9891b7246338,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=b9a53888-9d36-4345-98df-9891b7246338
capsule-4671827,"Codex Agent (gpt-5.4, re=medium)",353aa5c3-3734-49ed-b527-88123885339e,5dc0b74e-21fd-4399-bafb-94d25697b6c9,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:5dc0b74e-21fd-4399-bafb-94d25697b6c9,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/5dc0b74e-21fd-4399-bafb-94d25697b6c9,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=5dc0b74e-21fd-4399-bafb-94d25697b6c9
